Parcel ID,Address
634404002,801 5TH AVE NE
634403004,318 8TH ST NE
634267002,812 2ND AVE NE
634189001,63 9TH ST NE
634189002,814 CENTER AVE NE
634268005,811 4TH AVE NE
634189003,69 9TH ST NE
635158006,808 8TH ST NE
634268002,810 3RD AVE NE
634189004,815 NELSON
635159006,800 9TH AVE NE
634190003,815 1ST AVE NE
634191001,814 1ST AVE NE
634279007,812 5TH AVE NE
634266001,815 2ND AVE NE
634267001,814 2ND AVE NE
634267005,817 3RD AVE NE
634268001,814 3RD AVE NE
634268004,315 9TH ST NE
634269001,817 5TH AVE NE
635158005,804 8TH AVE NE
635158004,812 8TH ST NE
634279006,814 5TH AVE NE
634379002,109 5TH ST NE
634279005,816 5TH AVE NE
634185002,62 9TH ST NE
634186003,80 9TH ST NE
634186004,86 9TH ST NE
634186007,901 1ST AVE NE
635159014, 9TH AVE NE
634264008,901 4TH AVE NE
634187002,100 9TH ST NE
634262002,104 9TH ST NE
634262005,106 9TH ST NE
634263010,208 9TH ST NE
634263002,900 2ND AVE NE
635158001,814 8TH AVE NE
635158003,813 9TH ST NE
634264007,905 4TH AVE NE
635159015,814 9TH AVE NE
634265002,900 4TH AVE NE
634264006,310 9TH ST NE
634279004,900 5TH AVE NE
635159013,907 9TH ST NE
634184001,40 9TH ST NE
634184002,46 9TH ST NE
634184003,48 9TH ST NE
634184004,901 CENTER AVE NE
634185001,67 10TH ST NE
634185003,68 9TH ST NE
634186001,81 10TH ST NE
634186002,87 10TH ST NE
634262004,105 10TH ST NE
634262003,909 2ND AVE NE
634263001,908 2ND AVE NE
634263003,203 10TH ST NE
634263009,207 10TH ST NE
634263006,211 10TH ST NE
634263007,212 9TH ST NE
634264001,301 10TH ST NE
634264002,304 9TH ST NE
634437004,502 6TH AVE NE
635311002,410 9TH AVE NE
634265001,401 10TH ST NE
634265003,905 5TH AVE NE
635155007,903 9TH AVE NE
634188004,807 CENTER AVE NE
635156004,902 9TH ST NE
634279003,914 5TH AVE NE
634183003,98 10TH ST NE
635155003,904 8TH AVE NE
635155006,905 9TH AVE NE
635156005,914 9TH ST NE
635157002, 10TH ST NE
635157005,1012 9TH ST NE
634181001,40 10TH ST NE
634181002,48 10TH ST NE
634181004,58 10TH ST NE
634181003, CENTER AVE NE
