address,city,state,source,city_id,image_name,image_url,lon,lat,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county,clear_image,test_failed,rand_select,vegetation,vegetation_confidence,siding,siding_confidence,gutter,gutter_confidence,False,roof,roof_confidence,img_used
214 J AVE,Grundy Center,Iowa,G,G,G_D_214 J AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=214+J+AVE,Grundy+Center+Iowa",-92.7661482,42.3584447,,,,,,,,,,,,,,,,,,True,,False,garden_present,41.3,chipped_paint,34.64,good_gutter,70.29,,good_roof,50.4,G_G_214 J AVE_
908 6TH ST,Grundy Center,Iowa,G,G,G_D_908 6TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=908+6TH+ST,Grundy+Center+Iowa",-92.7709609,42.3587912,,,,,,,,,,,,,,,,,,True,,False,garden_present,40.45,poor_siding,36.81,good_gutter,68.9,,bad_roof,52.65,G_G_908 6TH ST_
809 FROST ST,Grundy Center,Iowa,G,G,G_D_809 FROST ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=809+FROST+ST,Grundy+Center+Iowa",-92.7675774,42.3597946,,,,,,,,,,,,,,,,,,True,,True,garden_present,40.9,poor_siding,36.53,good_gutter,65.49,,good_roof,54.78,G_G_809 FROST ST_
1309 5TH ST,Grundy Center,Iowa,G,G,G_D_1309 5TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1309+5TH+ST,Grundy+Center+Iowa",-92.7702219,42.3552747,,,,,,,,,,,,,,,,,,True,,False,garden_present,38.85,poor_siding,38.52,poor/no_gutter,60.77,,good_roof,61.33,G_G_1309 5TH ST_
404 BUTLER AVE,Grundy Center,Iowa,G,G,G_D_404 BUTLER AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=404+BUTLER+AVE,Grundy+Center+Iowa",-92.7689774,42.3548437,,,,,,,,,,,,,,,,,,True,,False,garden_present,45.41,poor_siding,36.05,good_gutter,68.36,,bad_roof,51.34,W_G_404 BUTLER AVE_
206 J AVE,Grundy Center,Iowa,G,G,G_D_206 J AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=206+J+AVE,Grundy+Center+Iowa",-92.7654171,42.3584207,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
504 BUTLER AVE,Grundy Center,Iowa,G,G,G_D_504 BUTLER AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=504+BUTLER+AVE,Grundy+Center+Iowa",-92.7705331,42.3548831,,,,,,,,,,,,,,,,,,True,,True,garden_present,46.1,poor_siding,38.51,good_gutter,62.08,,good_roof,55.76,W_G_504 BUTLER AVE_
217 J AVE,Grundy Center,Iowa,G,G,G_D_217 J AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=217+J+AVE,Grundy+Center+Iowa",-92.7664108,42.3589008,,,,,,,,,,,,,,,,,,True,,False,garden_present,42.05,poor_siding,37.19,poor/no_gutter,62.73,,good_roof,61.11,G_G_217 J AVE_
403 J AVE,Grundy Center,Iowa,G,G,G_D_403 J AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=403+J+AVE,Grundy+Center+Iowa",-92.7690941,42.3587978,,,,,,,,,,,,,,,,,,True,,False,garden_present,41.57,poor_siding,34.94,good_gutter,65.62,,good_roof,54.08,G_G_403 J AVE_
801 4TH ST,Grundy Center,Iowa,G,G,G_D_801 4TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=801+4TH+ST,Grundy+Center+Iowa",-92.7689191,42.3602425,,,,,,,,,,,,,,,,,,True,,False,no_garden,42.48,poor_siding,34.94,good_gutter,67.6,,bad_roof,51.63,G_G_801 4TH ST_
708 2 ST,Grundy Center,Iowa,G,G,G_D_708 2 ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=708+2+ST,Grundy+Center+Iowa",-92.7644275,42.3607155,,,,,,,,,,,,,,,,,,True,,False,garden_present,42.71,poor_siding,36.69,good_gutter,63.69,,good_roof,50.99,G_G_708 2 ST_
