address,city,state,source,city_id,image_name,image_url,lon,lat,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county,clear_image,test_failed,rand_select,vegetation,vegetation_confidence,siding,siding_confidence,gutter,gutter_confidence,FALSE,roof,roof_confidence,img_used
700 TAMA CIR,Slater,Iowa,G,S,G_S_700 TAMA CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=700+TAMA+CIR,Slater+Iowa",-93.6805871,41.8753761,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,42.93,poor_siding,37.38,good_gutter,67.17,,FALSE,0,G_S_700 TAMA CIR_
705 BENTON CIR,Slater,Iowa,G,S,G_S_705 BENTON CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=705+BENTON+CIR,Slater+Iowa",-93.6799531,41.8753964,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,48.05,poor_siding,36.99,good_gutter,63.53,,FALSE,0,G_S_705 BENTON CIR_
700 BENTON CIR,Slater,Iowa,G,S,G_S_700 BENTON CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=700+BENTON+CIR,Slater+Iowa",-93.679339,41.8753966,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,,0,
610 8TH AVE,Slater,Iowa,G,S,G_S_610 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=610+8TH+AVE,Slater+Iowa",-93.6864518,41.8751884,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,41.31,chipped_paint,36.57,good_gutter,69.94,,FALSE,0,G_S_610 8TH AVE_
204 8TH AVE,Slater,Iowa,G,S,G_S_204 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=204+8TH+AVE,Slater+Iowa",-93.6805871,41.8749112,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,45.41,poor_siding,37.14,good_gutter,68.78,,FALSE,0,G_S_204 8TH AVE_
614 8TH AVE,Slater,Iowa,G,S,G_S_614 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=614+8TH+AVE,Slater+Iowa",-93.6869867,41.8753844,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,40.93,poor_siding,36.48,good_gutter,69.38,,FALSE,0,G_S_614 8TH AVE_
708 MARSHALL ST,Slater,Iowa,G,S,G_S_708 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=708+MARSHALL+ST,Slater+Iowa",-93.6817957,41.8753956,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,47.71,poor_siding,39.54,good_gutter,59.59,,FALSE,0,G_S_708 MARSHALL ST_
101 8TH AVE,Slater,Iowa,G,S,G_S_101 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=101+8TH+AVE,Slater+Iowa",-93.6788635,41.8754893,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,38.15,poor_siding,36.42,good_gutter,68.9,,FALSE,0,G_S_101 8TH AVE_
100 8TH AVE,Slater,Iowa,G,S,G_S_100 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=100+8TH+AVE,Slater+Iowa",-93.6787843,41.8749107,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,48.55,poor_siding,38.22,good_gutter,65.42,,FALSE,0,G_S_100 8TH AVE_
305 9TH AVE,Slater,Iowa,G,S,G_S_305 9TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=305+9TH+AVE,Slater+Iowa",-93.6818353,41.874542,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,43.05,poor_siding,36.67,good_gutter,50.85,,FALSE,0,G_S_305 9TH AVE_
804 S CARROLL ST,Slater,Iowa,G,S,G_S_804 S CARROLL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=804+S+CARROLL+ST,Slater+Iowa",-93.6875416,41.8771875,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,40,poor_siding,36.5,good_gutter,70.23,,FALSE,0,G_S_804 S CARROLL ST_
