Address,City,Source,City ID,Image Name,image url,API Key,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county
 632 GREENE ST ,Slater,G,S,G_S_632 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=632+GREENE+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 700 MARSHALL ST ,Slater,G,S,G_S_700 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=700+MARSHALL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 613 8TH AVE ,Slater,G,S,G_S_613 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=613+8TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 702 PARK CIR ,Slater,G,S,G_S_702 PARK CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=702+PARK+CIR,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 701 PARK CIR ,Slater,G,S,G_S_701 PARK CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=701+PARK+CIR,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 701 TAMA CIR ,Slater,G,S,G_S_701 TAMA CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=701+TAMA+CIR,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 704 BENTON CIR ,Slater,G,S,G_S_704 BENTON CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=704+BENTON+CIR,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 401 9TH AVE ,Slater,G,S,G_S_401 9TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=401+9TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 100 9TH AVE ,Slater,G,S,G_S_100 9TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=100+9TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 303 10TH AVE ,Slater,G,S,G_S_303 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=303+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 301 10TH AVE ,Slater,G,S,G_S_301 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=301+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 205 10TH AVE ,Slater,G,S,G_S_205 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=205+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 402 10TH AVE ,Slater,G,S,G_S_402 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=402+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 206 10TH AVE ,Slater,G,S,G_S_206 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=206+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 204 10TH AVE ,Slater,G,S,G_S_204 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=204+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 202 10TH AVE ,Slater,G,S,G_S_202 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=202+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 202 10TH AVE ,Slater,G,S,G_S_202 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=202+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 801 S CARROLL ST ,Slater,G,S,G_S_801 S CARROLL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=801+S+CARROLL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 808 S CARROLL ST ,Slater,G,S,G_S_808 S CARROLL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=808+S+CARROLL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 626 GREENE ST ,Slater,G,S,G_S_626 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=626+GREENE+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 627 GREENE ST ,Slater,G,S,G_S_627 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=627+GREENE+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 630 GREENE ST ,Slater,G,S,G_S_630 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=630+GREENE+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 402 7TH AVE ,Slater,G,S,G_S_402 7TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=402+7TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 815 S CARROLL ST ,Slater,G,S,G_S_815 S CARROLL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=815+S+CARROLL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 812 S CARROLL ST ,Slater,G,S,G_S_812 S CARROLL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=812+S+CARROLL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 633 GREENE ST ,Slater,G,S,G_S_633 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=633+GREENE+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 702 BENTON CIR ,Slater,G,S,G_S_702 BENTON CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=702+BENTON+CIR,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 703 LINN ST ,Slater,G,S,G_S_703 LINN ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=703+LINN+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 703 BENTON CIR ,Slater,G,S,G_S_703 BENTON CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=703+BENTON+CIR,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 901 FOUR MILE DR ,Slater,G,S,G_S_901 FOUR MILE DR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=901+FOUR+MILE+DR,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 204 9TH AVE ,Slater,G,S,G_S_204 9TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=204+9TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 202 9TH AVE ,Slater,G,S,G_S_202 9TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=202+9TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 200 9TH AVE ,Slater,G,S,G_S_200 9TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=200+9TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 106 9TH AVE ,Slater,G,S,G_S_106 9TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=106+9TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 601 STORY ST ,Slater,G,S,G_S_601 STORY ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=601+STORY+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 302 6TH AVE ,Slater,G,S,G_S_302 6TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=302+6TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 107 10TH AVE ,Slater,G,S,G_S_107 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=107+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 105 10TH AVE ,Slater,G,S,G_S_105 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=105+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 109 10TH AVE ,Slater,G,S,G_S_109 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=109+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 103 10TH AVE ,Slater,G,S,G_S_103 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=103+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 102 10TH AVE ,Slater,G,S,G_S_102 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=102+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 100 10TH AVE ,Slater,G,S,G_S_100 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=100+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 304 10TH AVE ,Slater,G,S,G_S_304 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=304+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 625 GREENE ST ,Slater,G,S,G_S_625 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=625+GREENE+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 610 MARSHALL ST ,Slater,G,S,G_S_610 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=610+MARSHALL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 404 7TH AVE ,Slater,G,S,G_S_404 7TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=404+7TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
