address,city,state,source,city_id,image_url,lon,lat,,clear_image,test_failed,failed_correct,rand_select,vegetation,vegetation_confidence,correct_vegetation,siding,siding_confidence,correct_siding,gutter,gutter_confidence,correct_gutter,roof,roof_confidence,correct_roof,img_used,Comment on Accuracy,,avg_vegetation_confidence,avg_siding_confidence,avg_gutter_confidence,avg_roof_confidence,avg_vegetation_confidence_val,avg_siding_confidence_val,avg_gutter_confidence_val,avg_roof_confidence_val,correct_house_present_prediction,correct_vegetation_prediction,correct_siding_prediction,correct_gutter_prediction,correct_roof_prediction,percent_correct_house_present_prediction,percent_correct_vegetation_prediction,percent_correct_siding_prediction,percent_correct_gutter_prediction,percent_correct_roof_prediction
2089 KENTUCKY AVE,Independence,Iowa,G,D,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2089+KENTUCKY+AVE,Independence+Iowa",-91.885827,42.484452,,TRUE,,0,FALSE,garden_present,41.27,,poor_siding,36.58,,good_gutter,69.99,,good_roof,52.65,,G_D_2089 KENTUCKY AVE_,Cornfield,,,,,,,,,,,,,,,,,,,
1508 6TH AVE NE,Independence,Iowa,G,D,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1508+6TH+AVE+NE,Independence+Iowa",-91.8874319,42.4852535,,TRUE,,1,FALSE,garden_present,46.17,1,poor_siding,35.19,0,good_gutter,66.32,1,good_roof,55.42,1,G_D_1508 6TH AVE NE_,,,,,,,,,,,,,,,,,,,,
502 16TH ST NE,Independence,Iowa,G,D,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=502+16TH+ST+NE,Independence+Iowa",-91.8887289,42.4854623,,TRUE,,1,FALSE,garden_present,44.68,1,poor_siding,37.08,0,good_gutter,67.91,1,good_roof,53.69,1,G_D_502 16TH ST NE_,,,,,,,,,,,,,,,,,,,,
311 W MAIN ST,New Hampton,Iowa,G,H,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=311+W+MAIN+ST,New+Hampton+Iowa",-92.3199668,43.0594356,,FALSE,house_present,0,FALSE,,0,,,0,,,0,,,0,,,good chipped paint example,,,,,,,,,,,,,,,,,,,
102 E MAIN ST,New Hampton,Iowa,G,H,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=102+E+MAIN+ST,New+Hampton+Iowa",-92.3139397,43.0595004,,TRUE,,0,FALSE,garden_present,38.42,,chipped_paint,35.95,,poor/no_gutter,52.65,,good_roof,56.56,,G_H_102 E MAIN ST_,image of the inside of a store,,,,,,,,,,,,,,,,,,,
508 N LINN AVE,New Hampton,Iowa,G,H,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=508+N+LINN+AVE,New+Hampton+Iowa",-92.3180989,43.0641924,,FALSE,house_present,0,FALSE,,0,,,0,,,0,,,0,,,multiple unobstructed houses present,,,,,,,,,,,,,,,,,,,
22 N LINN AVE,New Hampton,Iowa,G,H,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=22+N+LINN+AVE,New+Hampton+Iowa",-92.318209,43.059937,,FALSE,house_present,1,FALSE,,0,,,0,,,0,,,0,,,"Technically correct, this model trained to detect stores as no house present",,,,,,,,,,,,,,,,,,,
311 N LOCUST AVE,New Hampton,Iowa,G,H,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=311+N+LOCUST+AVE,New+Hampton+Iowa",-92.3136316,43.0626148,,TRUE,,1,FALSE,garden_present,43.41,1,poor_siding,38.03,0,good_gutter,55,1,good_roof,55.74,1,G_H_311 N LOCUST AVE_,,,,,,,,,,,,,,,,,,,,
101 N LOCUST AVE,New Hampton,Iowa,G,H,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=101+N+LOCUST+AVE,New+Hampton+Iowa",-92.3137664,43.0604326,,FALSE,house_present,1,FALSE,,0,,,0,,,0,,,0,,,no house but church,,,,,,,,,,,,,,,,,,,
615 N LINN AVE,New Hampton,Iowa,G,H,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=615+N+LINN+AVE,New+Hampton+Iowa",-92.3172709,43.065403,,FALSE,house_present,1,FALSE,,0,,,0,,,0,,,0,,,gas station,,,,,,,,,,,,,,,,,,,
206 N LINN AVE,New Hampton,Iowa,G,H,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=206+N+LINN+AVE,New+Hampton+Iowa",-92.3180989,43.0614254,,FALSE,house_present,0,FALSE,,0,,,0,,,0,,,0,,,house present,,,,,,,,,,,,,,,,,,,
102 N LINN AVE,New Hampton,Iowa,G,H,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=102+N+LINN+AVE,New+Hampton+Iowa",-92.3181952,43.0603811,,FALSE,house_present,1,FALSE,,0,,,0,,,0,,,0,,,car wash,,,,,,,,,,,,,,,,,,,
104 E MAIN ST,New Hampton,Iowa,G,H,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=104+E+MAIN+ST,New+Hampton+Iowa",-92.3138049,43.0594841,,FALSE,house_present,1,FALSE,,0,,,0,,,0,,,0,,,downtown building,,,,,,,,,,,,,,,,,,,
507 N LINN AVE,New Hampton,Iowa,G,H,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=507+N+LINN+AVE,New+Hampton+Iowa",-92.3175597,43.0641654,,TRUE,,1,FALSE,garden_present,43.5,1,poor_siding,37.51,0,poor/no_gutter,71.83,1,good_roof,59.7,0,G_H_507 N LINN AVE_,,,,,,,,,,,,,,,,,,,,
207 N LINN AVE,New Hampton,Iowa,G,H,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=207+N+LINN+AVE,New+Hampton+Iowa",-92.3175597,43.0614742,,TRUE,,1,FALSE,garden_present,41.65,1,poor_siding,36.71,0,good_gutter,50.08,1,good_roof,53.33,1,G_H_207 N LINN AVE_,,,,,,,,,,,,,,,,,,,,
305 W MAIN ST,New Hampton,Iowa,G,H,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=305+W+MAIN+ST,New+Hampton+Iowa",-92.3196587,43.0594418,,FALSE,house_present,0,FALSE,,0,,,0,,,0,,,0,,,house present,,,,,,,,,,,,,,,,,,,
310 E MAIN ST,New Hampton,Iowa,G,H,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=310+E+MAIN+ST,New+Hampton+Iowa",-92.3112826,43.0595918,,TRUE,,1,FALSE,garden_present,42.16,1,poor_siding,38.27,0,good_gutter,59.94,1,good_roof,56.18,1,G_H_310 E MAIN ST_,,,,,,,,,,,,,,,,,,,,
520 N PLEASANT HILL AVE,New Hampton,Iowa,G,H,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=520+N+PLEASANT+HILL+AVE,New+Hampton+Iowa",-92.3090877,43.0648288,,FALSE,house_present,0,FALSE,,0,,,0,,,0,,,0,,,house present,,,,,,,,,,,,,,,,,,,
303 N LOCUST AVE,New Hampton,Iowa,G,H,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=303+N+LOCUST+AVE,New+Hampton+Iowa",-92.3137857,43.0622705,,TRUE,,1,FALSE,garden_present,43.17,1,poor_siding,37.22,0,poor/no_gutter,56.53,1,bad_roof,52.84,1,G_H_303 N LOCUST AVE_,,,,,,,,,,,,,,,,,,,,
416 E MAIN ST,New Hampton,Iowa,G,H,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=416+E+MAIN+ST,New+Hampton+Iowa",-92.3096653,43.0596244,,TRUE,,1,FALSE,garden_present,45.98,1,poor_siding,40.84,0,poor/no_gutter,68.51,0,good_roof,60.17,1,G_H_416 E MAIN ST_,,,,,,,,,,,,,,,,,,,,
